cd_cnpj;de_ramo_atividade;cd_ramo_atividade;nu_ordem;cd_divisao
7276000100;COMERCIO A VAREJO DE AUTOMOVEIS, CAMIONETAS E UTILITARIOS USADOS;4511102;00;45
11060000290;COMERCIO ATACADISTA DE SEMENTES, FLORES, PLANTAS E GRAMAS;0141502;00;01
11060000290;PRODUCAO DE SEMENTES CERTIFICADAS DE FORRAGEIRAS PARA FORMACAO DE PASTO;4623106;01;46
11060000290;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL;4930202;02;49
15216000120;SERVICOS DE PREIMPRESSAO;1821100;00;18
15293000180;ATIVIDADES DE VIGILANCIA E SEGURANCA PRIVADA;8011101;00;80
15293000180;LIMPEZA EM PREDIOS E EM DOMICILIOS;8111700;01;81
15293000180;OUTRAS ATIVIDADES DE SERVICOS PESSOAIS NAO ESPECIFICADAS ANTERIORMENTE;8121400;02;81
15293000180;PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE;8219999;03;82
15293000180;SERVICOS COMBINADOS PARA APOIO A EDIFICIOS, EXCETO CONDOMINIOS PREDIAIS;9609299;04;96
20256000160;COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS;4330402;00;43
20256000160;INSTALACAO DE PORTAS, JANELAS, TETOS, DIVISORIAS E ARMARIOS EMBUTIDOS DE QUALQUER MATERIAL;4744001;01;47
56567000180;ENSINO FUNDAMENTAL;8513900;00;85
58221000110;REPARACAO E MANUTENCAO DE EQUIPAMENTOS ELETROELETRONICOS DE USO PESSOAL E DOMESTICO;9521500;00;95
59448000180;CONDOMINIOS PREDIAIS;8112500;00;81
65741000150;TABACARIA;4729601;00;47
69426000100;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  HIPERMERCADOS;4711301;00;47
80800000160;COMERCIO ATACADISTA DE BEBIDAS NAO ESPECIFICADAS ANTERIORMENTE;4635402;00;46
80800000160;COMERCIO ATACADISTA DE CERVEJA, CHOPE E REFRIGERANTE;4635499;01;46
80800000160;COMERCIO ATACADISTA DE PRODUTOS ALIMENTICIOS EM GERAL;4639701;02;46
81394000150;ATIVIDADES DE ATENDIMENTO HOSPITALAR, EXCETO PRONTOSOCORRO E UNIDADES PARA ATENDIMENTO A URGENCIAS;8610101;00;86
84332000100;COMERCIO ATACADISTA DE AVES ABATIDAS E DERIVADOS;4634601;00;46
84332000100;COMERCIO ATACADISTA DE CARNES BOVINAS E SUINAS E DERIVADOS;4634602;01;46
84332000100;COMERCIO ATACADISTA DE CARNES E DERIVADOS DE OUTROS ANIMAIS;4634603;02;46
84332000100;COMERCIO ATACADISTA DE PESCADOS E FRUTOS DO MAR;4634699;03;46
84332000100;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL;4930202;04;49
85046000150;AGENCIAS DE PUBLICIDADE;7311400;00;73
85046000150;CONSULTORIA EM PUBLICIDADE;7319001;01;73
85046000150;CRIACAO DE ESTANDES PARA FEIRAS E EXPOSICOES;7319002;02;73
85046000150;MARKETING DIRETO;7319003;03;73
85046000150;PROMOCAO DE VENDAS;7319004;04;73
